幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,31.29000,31.61500,31.61200,31.51900,31.40100,31.28500,31.16000,31.04900,30.93200,本行賣出,31.96000,31.76500,31.71800,31.63200,31.52400,31.42000,31.30500,31.20300,31.09700,
HKD,本行買入,3.90200,4.02300,4.02300,4.01200,4.00000,3.98800,3.97400,3.96100,3.94700,本行賣出,4.10600,4.09300,4.08300,4.07300,4.06200,4.04800,4.03600,4.02500,4.01300,
GBP,本行買入,39.22000,40.11500,40.01100,39.89400,39.76800,39.61700,39.46400,39.31200,39.15900,本行賣出,41.34000,40.74500,40.42300,40.32900,40.20500,40.05600,39.91700,39.77700,39.63800,
AUD,本行買入,20.44000,20.65500,20.67100,20.63300,20.58600,20.53000,20.47100,20.41400,20.35300,本行賣出,21.22000,21.00000,20.86800,20.82400,20.77800,20.72000,20.67100,20.61900,20.56500,
CAD,本行買入,23.21000,23.54000,23.58700,23.52000,23.45400,23.37600,23.29700,23.21800,23.13900,本行賣出,24.12000,23.87000,23.79500,23.74500,23.68100,23.60100,23.53100,23.46200,23.39200,
SGD,本行買入,23.08000,23.55000,23.49600,23.44700,23.40200,23.35100,23.29800,23.24500,23.19200,本行賣出,23.99000,23.77000,23.68500,23.65400,23.60900,23.55700,23.51400,23.47100,23.42700,
CHF,本行買入,35.50000,36.11000,35.98500,35.95600,35.94900,35.93300,35.92200,35.91000,35.89900,本行賣出,36.70000,36.50000,36.25000,36.25100,36.24800,36.23100,36.23600,36.24000,36.24500,
JPY,本行買入,0.21440,0.22120,0.22020,0.22030,0.22060,0.22080,0.22100,0.22120,0.22140,本行賣出,0.22720,0.22620,0.22430,0.22460,0.22480,0.22510,0.22550,0.22580,0.22610,
ZAR,本行買入,0.00000,1.67100,1.65000,1.64100,1.63000,1.61900,1.60800,1.59600,1.58500,本行賣出,0.00000,1.76100,1.73000,1.72300,1.71300,1.70100,1.69100,1.68000,1.67000,
SEK,本行買入,2.61000,2.94000,2.90700,2.90100,2.89500,2.88800,2.88100,2.87400,2.86700,本行賣出,3.13000,3.06000,3.00800,3.00500,2.99900,2.99200,2.98600,2.98100,2.97500,
NZD,本行買入,18.85000,19.18000,19.16900,19.10800,19.04600,18.97500,18.90100,18.82700,18.75300,本行賣出,19.70000,19.48000,19.37800,19.33500,19.27400,19.20300,19.13700,19.07000,19.00400,
THB,本行買入,0.78630,0.89570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.97630,0.94170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.50320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.63520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.09000,34.60500,34.44500,34.35400,34.25900,34.18700,34.10400,34.02100,33.88200,本行賣出,35.43000,35.20500,34.88800,34.88500,34.80400,34.75200,34.68700,34.62100,34.55500,
KRW,本行買入,0.02256,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02646,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00109,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.91700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.43700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.31300,4.38000,4.38010,4.37620,4.37180,4.36800,4.36170,4.35360,4.34920,本行賣出,4.47500,4.44000,4.43120,4.42960,4.42600,4.42230,4.41800,4.41360,4.40920,
